Elevation,Transect,Quadrat,Species,Cover,Collection,Long_Form,Photos
700,B,5,TinyOliveRhizo,T,TB700.5.2,Tiny olive Rhizocarpon,
700,B,5,Chrysothrix,T,TB700.1.12,,
700,B,6,Chrysothrix,T,TB700.1.12,,
700,B,6,HetLeucomelos,T,TB700.2.11,,
700,B,6,HyperIsidiateNiebla,T,TB700.2.13,,
700,B,6,EpinecralAspicilia,2,TB700.4.2,,
700,B,6,YelRhizocarponSchizidia,T,TB700.3.2,,
700,B,6,MinksiaSax,T,TB700.1.10,,
700,B,6,WhiteBlackLecideateRoccellina,T,TB700.1.5,,
700,B,6,ManilaBacidia,1,TB700.3.1,,
700,B,6,StipLecBlaApoWhite,T,TB700.4.4,,
700,B,6,HetFoll,T,TB700.2.1,,
700,B,6,RoccellinaBallena,2,TB700.6.2,finned sunken apothecia lirelloid Roccellina ballena,
700,B,7,Chrysothrix,T,TB700.1.12,,
700,B,8,HetLeucomelos,T,TB700.2.11,,
700,B,8,Arctothelium,T,TB700.5.1,,
700,B,8,TinyGrayRhizo,T,TB700.3.4,,
700,B,8,YelRhizocarponSchizidia,T,TB700.3.2,,
700,B,9,Arctothelium,T,TB700.5.1,,
700,B,9,YelRhizocarponSchizidia,1,TB700.3.2,,
700,B,9,Chrysothrix,T,TB700.1.12,,
700,B,9,EndolithicBuellia,T,TB700.9.1,Pseudo-endolithic Buellia,
700,B,10,EndolithicBuellia,T,TB700.9.1,,
700,B,10,HetLeucomelos,T,TB700.2.11,,
700,B,10,XanthoriaAscendens,T,TB700.2.3,,
700,B,10,YelRhizocarponSchizidia,T,TB700.3.2,,
700,B,10,TinyGrayRhizo,T,TB700.3.4,,
700,B,10,RamalinaVAver,3,TB700.10.1,Ramalina med-wide lobes smooth fertile bushy,
700,B,10,UsneaRubicunda,T,TB700.10.2,Usnea cf rubicunda,
700,B,10,Arctothelium,T,TB700.5.1,,
700,B,10,AspiciliaStrigata,T,TB700.2.2,,
700,B,10,YelRhizoFlatBlackApo,1,TB700.10.3,Yellow Rhizocarpon flat black apothecia,
300,B,1,CaloOrtho,T,TB300.1.1,Caloplaca orthoclada,
300,B,1,RoccCereb,2,TB300.1.2,Roccellina cerebriformis,
300,B,2,,,,,
300,B,3,,,,,
300,B,4,CaloOrtho,T,TB300.1.1,,
300,B,5,,,,,
300,B,6,,,,,
300,B,7,CaloOrtho,T,TB300.1.1,,
300,B,8,,,,,
300,B,9,,,,,
300,B,10,,,,,
400,B,1,CaloOrtho,7,TB400.1.1,Caloplaca orthoclada,
400,B,1,YelRhizoNoSchiz,T,TB400.1.2,Yellow Rhizocarpon no schizidia,
400,B,1,BlackStipCren,15,TB400.1.3,Black stipitate apothecia crenulate visible proper margin ,
400,B,1,Finlike,1,TB400.1.4,Fin-like large cerebriformis,
400,B,1,Minksia,T,TB400.1.6,Minksia,
400,B,1,RoccCereb,1,TB400.1.5,Roccellina cerebriformis,
400,B,1,BlackStipNonCren,12,TB400.1.7,Black stipitate apothecia non-crenulate,
400,B,2,RoccCereb,T,TB400.1.5,,
400,B,2,BlackStipCren,4,TB400.1.3,,
400,B,2,BlackStipNonCren,T,TB400.1.7,,
400,B,2,Finlike,T,TB400.1.4,,
400,B,3,CaloOrtho,T,TB400.1.1,,
400,B,4,,,,,
400,B,5,RoccCereb,9,TB400.1.5,,
400,B,5,Finlike,T,TB400.1.4,,
400,B,6,,,,,
400,B,7,CaloOrtho,T,TB400.1.1,,
400,B,8,,,,,
400,B,9,,,,,
400,B,10,Finlike,2,TB400.1.4,,
400,B,10,BlackStipCren,T,TB400.1.3,,
400,B,10,RoccCereb,5,TB400.1.5,,
500,B,1,YellowRhizocarpon,12,TB500.1.1,Yellow rhizocarpon,
500,B,1,CaloOrtho,5,TB500.1.2,Caloplaca orthoclada,
500,B,1,Chrysothrix,1,TB500.1.3,Chrysothrix,
500,B,1,Niebla,T,TB500.1.4,Niebla smooth unbranched,
500,B,1,Arctothelium,T,TB500.1.5,Arctothelium,
500,B,1,GrayRhizocarpon,T,TB500.1.6,Gray Rhizocarpon,
500,B,1,HetFoll,T,TB500.1.7,Heterodermia follmanii,
500,B,1,Minksia,7,TB500.1.8,Minksia,
500,B,1,Megaspora,T,TB500.1.9,Megaspora,
500,B,1,LittlePilesBalls,T,TB500.1.10,tiny little green ball stacks,
500,B,2,Arctothelium,T,TB500.1.5,,
500,B,2,CaloOrtho,1,TB500.1.2,,
500,B,2,Minksia,1,TB500.1.8,,
500,B,2,YellowRhizocarpon,T,TB500.1.1,,
500,B,3,Arctothelium,T,TB500.1.5,,
500,B,3,YellowRhizocarpon,T,TB500.1.1,,
500,B,4,CaloOrtho,1,TB500.1.2,,
500,B,5,CaloOrtho,T,TB500.1.2,,
500,B,5,Arctothelium,T,TB500.1.5,,
500,B,6,YellowRhizocarpon,T,TB500.1.1,,
500,B,6,Arctothelium,T,TB500.1.5,,
500,B,6,CaloOrtho,4,TB500.1.2,,
500,B,6,CaloSubhervidela,T,TB500.6.1,Caloplaca subhervidela,
500,B,6,Minksia,T,TB500.1.8,,
500,B,7,CaloOrtho,3,TB500.1.2,,
500,B,7,Arctothelium,T,TB500.1.5,,
500,B,7,Minksia,T,TB500.1.8,,
500,B,7,YellowRhizocarpon,T,TB500.1.1,,
500,B,7,CaloSubhervidela,T,TB500.6.1,,
500,B,8,CaloOrtho,2,TB500.1.2,,
500,B,8,YellowRhizocarpon,T,TB500.1.1,,
500,B,8,Minksia,T,TB500.1.8,,
500,B,8,Niebla,T,TB500.1.4,,
500,B,8,BlackStipCren,T,TB500.8.1,Black stipitate apothecia crenulate visible proper margin ,
500,B,9,BallsofYellow,T,TB500.9.1,Balls of yellow,
500,B,9,BlackStipCren,11,TB500.8.1,,
500,B,9,Pentagenella,1,TB500.9.2,Pentagenella gracillima,
500,B,9,Finlike,1,TB500.9.3,Fin-like large cerebriformis,
500,B,9,Megaspora,T,TB500.1.9,,
500,B,9,CaloOrtho,2,TB500.1.2,,
500,B,9,CaloPhlogina,T,TB500.9.4,Caloplaca phlogina,
500,B,9,BuellaJorgensis,T,TB500.9.5,Buellia jorgensis,
500,B,9,LirRhizocarpon,T,TB500.9.6,Lirellate Rhizocarpon,
500,B,9,RoccCereb,T,TB500.9.7,Roccellina cerebriformis,
500,B,10,Arctothelium,T,TB500.1.5,,
500,B,10,CaloOrtho,T,TB500.1.2,,
500,B,10,YellowRhizocarpon,T,TB500.1.1,,
500,B,10,Minksia,T,TB500.1.8,,
500,B,10,CaloSubhervidela,T,TB500.6.1,,
600,B,1,CaloOrtho,2,TB600.1.1,Caloplaca orthoclada,
